"date","set__trait","set_number__numero_trait","species__especes","species_name__nom_espece","number_caught__quantite_capture","weight_caught__poids_capture","comment__commentaire"
2019-07-13,"GP334A3",2,10,"Atlantic_cod__morue_franche",3,0.11,"Stable ~ 2.1 kts"
2019-07-13,"GP334A3",2,40,"American_plaice__plie_americaine",19,1.06,"Stable ~ 2.1 kts"
2019-07-13,"GP334A3",2,2521,"Hyas_coarctatus",42,7.52,"Stable ~ 2.1 kts"
2019-07-13,"GP344F",3,10,"Atlantic_cod__morue_franche",13,1.93,"Stable ~ 2.2 kts"
2019-07-13,"GP344F",3,40,"American_plaice__plie_americaine",22,5.1,"Stable ~ 2.2 kts"
2019-07-13,"GP344F",3,201,"thorny_skate__raie_epineuse",9,5.02,"Stable ~ 2.2 kts"
2019-07-13,"GP344F",3,1823,"sea_potato__patate_de_mer",1,0.12,"Stable ~ 2.2 kts"
2019-07-13,"GP344F",3,2521,"Hyas_coarctatus",3,0.34,"Stable ~ 2.2 kts"
2019-07-13,"GP341F",4,40,"American_plaice__plie_americaine",1,0.28,"Accroche et force ~ 2.1 kts"
2019-07-13,"GP341F",4,201,"thorny_skate__raie_epineuse",2,0.06,"Accroche et force ~ 2.1 kts"
2019-07-13,"GP341F",4,202,"smooth_skate__raie_lisse",1,0.02,"Accroche et force ~ 2.1 kts"
2019-07-13,"GP335F",5,40,"American_plaice__plie_americaine",78,5.29,"Stable ~ 2.2 kts"
2019-07-13,"GP335F",5,201,"thorny_skate__raie_epineuse",2,0.22,"Stable ~ 2.2 kts"
2019-07-13,"GP335F",5,1823,"sea_potato__patate_de_mer",1,0.08,"Stable ~ 2.2 kts"
2019-07-13,"GP335F",5,2521,"Hyas_coarctatus",4,0.36,"Stable ~ 2.2 kts"
2019-07-13,"GP331F",6,10,"Atlantic_cod__morue_franche",2,0.89,"Stable ~ 2.2 kts"
2019-07-13,"GP331F",6,40,"American_plaice__plie_americaine",81,5.02,"Stable ~ 2.2 kts"
2019-07-13,"GP325F",7,40,"American_plaice__plie_americaine",15,0.62,"Stable ~ 2.2 kts"
2019-07-13,"GP326F",8,40,"American_plaice__plie_americaine",35,1.75,"Stable ~ 2.2 kts"
2019-07-13,"GP315F",9,40,"American_plaice__plie_americaine",34,1.84,"Stable ~ 2.1 kts"
2019-07-13,"GP315F",9,2521,"Hyas_coarctatus",173,10.44,"Stable ~ 2.1 kts"
2019-07-14,"GP324F",1,40,"American_plaice__plie_americaine",181,16.98,"Stable ~ 2.1 kts"
2019-07-14,"GP324F",1,201,"thorny_skate__raie_epineuse",7,2.01,"Stable ~ 2.1 kts"
2019-07-14,"GP324F",1,2521,"Hyas_coarctatus",4,0.29,"Stable ~ 2.1 kts"
2019-07-14,"GP313F",2,40,"American_plaice__plie_americaine",38,2.13,"Stable ~ 2.2 kts"
2019-07-14,"GP313F",2,201,"thorny_skate__raie_epineuse",1,0.21,"Stable ~ 2.2 kts"
2019-07-14,"GP313F",2,2521,"Hyas_coarctatus",1,0.18,"Stable ~ 2.2 kts"
2019-07-14,"GP320F",3,201,"thorny_skate__raie_epineuse",1,1.85,"Variable 2 a 2.4 noeuds"
2019-07-14,"GP320F",3,202,"smooth_skate__raie_lisse",5,1.65,"Variable 2 a 2.4 noeuds"
2019-07-14,"GP312F",4,202,"smooth_skate__raie_lisse",2,0.49,"Force a cause de vase ~ 2.2 kts"
2019-07-14,"GP316F",5,10,"Atlantic_cod__morue_franche",1,1.25,"Force a cause de vase ~ 2.2 kts"
2019-07-14,"GP316F",5,201,"thorny_skate__raie_epineuse",2,0.98,"Force a cause de vase ~ 2.2 kts"
2019-07-14,"GP316F",5,202,"smooth_skate__raie_lisse",2,0.58,"Force a cause de vase ~ 2.2 kts"
2019-07-14,"GP295F",6,10,"Atlantic_cod__morue_franche",4,0.56,"Stable ~ 2.2 kts"
2019-07-14,"GP295F",6,40,"American_plaice__plie_americaine",69,6,"Stable ~ 2.2 kts"
2019-07-14,"GP295F",6,201,"thorny_skate__raie_epineuse",13,2.02,"Stable ~ 2.2 kts"
2019-07-14,"GP293F",7,201,"thorny_skate__raie_epineuse",1,0.01,"Force a cause de vase ~ 2.2 kts"
2019-07-14,"GP282F",8,10,"Atlantic_cod__morue_franche",1,0.52,"Stable ~ 2.1 kts"
2019-07-14,"GP273F",9,40,"American_plaice__plie_americaine",116,6.95,"Stable ~ 2.1 kts"
2019-07-14,"GP273F",9,201,"thorny_skate__raie_epineuse",4,0.42,"Stable ~ 2.1 kts"
2019-07-15,"GP269F",1,201,"thorny_skate__raie_epineuse",1,1.28,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP269F",1,202,"smooth_skate__raie_lisse",1,0.61,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP260F",2,40,"American_plaice__plie_americaine",5,1.1,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP260F",2,201,"thorny_skate__raie_epineuse",49,20.41,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP260F",2,202,"smooth_skate__raie_lisse",14,4.02,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP250F",3,40,"American_plaice__plie_americaine",6,1.96,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP250F",3,201,"thorny_skate__raie_epineuse",1,0.04,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP250F",3,202,"smooth_skate__raie_lisse",2,0.94,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP251A2",6,40,"American_plaice__plie_americaine",5,1.16,"Stable ~ 2.1 kts"
2019-07-15,"GP251A2",6,201,"thorny_skate__raie_epineuse",37,9.2,"Stable ~ 2.1 kts"
2019-07-15,"GP251A2",6,202,"smooth_skate__raie_lisse",19,5.54,"Stable ~ 2.1 kts"
2019-07-15,"GP235F",8,201,"thorny_skate__raie_epineuse",2,2.28,"Force a cause de vase ~ 2.2 kts"
2019-07-15,"GP208F",9,10,"Atlantic_cod__morue_franche",2,0.14,"Variable 2 a 2.4 noeuds"
2019-07-15,"GP208F",9,40,"American_plaice__plie_americaine",38,4.3,"Variable 2 a 2.4 noeuds"
2019-07-15,"GP208F",9,202,"smooth_skate__raie_lisse",1,0.07,"Variable 2 a 2.4 noeuds"
2019-07-15,"GP208F",9,2521,"Hyas_coarctatus",8,0.39,"Variable 2 a 2.4 noeuds"
2019-07-15,"GP207F",10,40,"American_plaice__plie_americaine",52,4.15,"Stable ~ 2.1 kts"
2019-07-15,"GP207F",10,201,"thorny_skate__raie_epineuse",5,0.36,"Stable ~ 2.1 kts"
2019-07-15,"GP207F",10,2521,"Hyas_coarctatus",1,0.02,"Stable ~ 2.1 kts"
2019-07-16,"GP227F",1,10,"Atlantic_cod__morue_franche",2,0.07,"Stable ~ 2.1 kts"
2019-07-16,"GP227F",1,40,"American_plaice__plie_americaine",33,2.2,"Stable ~ 2.1 kts"
2019-07-16,"GP227F",1,201,"thorny_skate__raie_epineuse",2,0.28,"Stable ~ 2.1 kts"
2019-07-16,"GP227F",1,2521,"Hyas_coarctatus",1,0.01,"Stable ~ 2.1 kts"
2019-07-16,"GP230F",2,40,"American_plaice__plie_americaine",34,2.08,"Stable ~ 2.2 kts"
2019-07-16,"GP230F",2,201,"thorny_skate__raie_epineuse",3,0.85,"Stable ~ 2.2 kts"
2019-07-16,"GP230F",2,2521,"Hyas_coarctatus",1,0.01,"Stable ~ 2.2 kts"
2019-07-16,"GP249F",3,40,"American_plaice__plie_americaine",8,0.11,"Stable ~ 2.2 kts"
2019-07-16,"GP249F",3,300,"longhorn_sculpin__chaboisseau_a_dix_huit_epines",1,0.42,"Stable ~ 2.2 kts"
2019-07-16,"GP249F",3,1823,"sea_potato__patate_de_mer",178,17.98,"Stable ~ 2.2 kts"
2019-07-16,"GP249F",3,2521,"Hyas_coarctatus",26,1.01,"Stable ~ 2.2 kts"
2019-07-16,"GP243F",4,10,"Atlantic_cod__morue_franche",1,0.32,"Stable ~ 2.2 kts"
2019-07-16,"GP243F",4,40,"American_plaice__plie_americaine",4,0.31,"Stable ~ 2.2 kts"
2019-07-16,"GP243F",4,1823,"sea_potato__patate_de_mer",68,6.18,"Stable ~ 2.2 kts"
2019-07-16,"GP243F",4,2521,"Hyas_coarctatus",48,4.26,"Stable ~ 2.2 kts"
2019-07-16,"GP261F",5,40,"American_plaice__plie_americaine",31,1.59,"Stable ~ 2.2 kts"
2019-07-16,"GP257F",6,10,"Atlantic_cod__morue_franche",1,0.02,"Stable ~ 2.2 kts"
2019-07-16,"GP257F",6,40,"American_plaice__plie_americaine",17,0.72,"Stable ~ 2.2 kts"
2019-07-16,"GP257F",6,2521,"Hyas_coarctatus",4,0.01,"Stable ~ 2.2 kts"
2019-07-16,"GP278F",7,10,"Atlantic_cod__morue_franche",2,0.14,"Stable ~ 2.2 kts"
2019-07-16,"GP278F",7,40,"American_plaice__plie_americaine",3,0.48,"Stable ~ 2.2 kts"
2019-07-16,"GP278F",7,1823,"sea_potato__patate_de_mer",193,19.03,"Stable ~ 2.2 kts"
2019-07-16,"GP278F",7,2521,"Hyas_coarctatus",44,6,"Stable ~ 2.2 kts"
2019-07-16,"GP287F",8,40,"American_plaice__plie_americaine",3,0.17,"Accroche et force ~ 2.1 kts"
2019-07-16,"GP287F",8,1823,"sea_potato__patate_de_mer",271,30.78,"Accroche et force ~ 2.1 kts"
2019-07-16,"GP287F",8,2521,"Hyas_coarctatus",44,3.49,"Accroche et force ~ 2.1 kts"
2019-07-16,"GP290F",9,10,"Atlantic_cod__morue_franche",5,1.04,"Stable ~ 2.1 kts"
2019-07-16,"GP290F",9,40,"American_plaice__plie_americaine",17,1.14,"Stable ~ 2.1 kts"
2019-07-16,"GP290F",9,2521,"Hyas_coarctatus",44,2.99,"Stable ~ 2.1 kts"
2019-07-16,"GP303F",10,40,"American_plaice__plie_americaine",2,0.16,"Stable ~ 2.1 kts"
2019-07-16,"GP303F",10,1823,"sea_potato__patate_de_mer",61,4.99,"Stable ~ 2.1 kts"
2019-07-16,"GP303F",10,2521,"Hyas_coarctatus",46,3.82,"Stable ~ 2.1 kts"
2019-07-16,"GP300F",11,10,"Atlantic_cod__morue_franche",9,1.92,"Stable ~ 2.1 kts"
2019-07-16,"GP300F",11,40,"American_plaice__plie_americaine",2,0.26,"Stable ~ 2.1 kts"
2019-07-16,"GP300F",11,1823,"sea_potato__patate_de_mer",51,3.39,"Stable ~ 2.1 kts"
2019-07-16,"GP300F",11,2521,"Hyas_coarctatus",12,1.41,"Stable ~ 2.1 kts"
2019-07-16,"GP281F",12,40,"American_plaice__plie_americaine",18,0.62,"Stable ~ 2.1 kts"
2019-07-16,"GP281F",12,2521,"Hyas_coarctatus",1,0.14,"Stable ~ 2.1 kts"
2019-07-16,"GP258F",13,40,"American_plaice__plie_americaine",3,0.05,"Stable ~ 2.1 kts"
2019-07-16,"GP258F",13,2521,"Hyas_coarctatus",6,0.15,"Stable ~ 2.1 kts"
2019-07-16,"GP247F",14,40,"American_plaice__plie_americaine",22,1.35,"Stable ~ 2.1 kts"
2019-07-17,"GP223F",1,40,"American_plaice__plie_americaine",39,1.06,"Stable ~ 2.1 kts"
2019-07-17,"GP223F",1,42,"Yellowtail_flounder__limande_a_queue_jaune",1,0.03,"Stable ~ 2.1 kts"
2019-07-17,"GP216F",2,40,"American_plaice__plie_americaine",60,2.28,"Stable ~ 2.1 kts"
2019-07-17,"GP195F",3,40,"American_plaice__plie_americaine",116,5.15,"Stable ~ 2.1 kts"
2019-07-17,"GP205F",4,10,"Atlantic_cod__morue_franche",1,1.42,"Stable ~ 2.1 kts"
2019-07-17,"GP205F",4,40,"American_plaice__plie_americaine",123,7.15,"Stable ~ 2.1 kts"
2019-07-17,"GP205F",4,42,"Yellowtail_flounder__limande_a_queue_jaune",1,0.12,"Stable ~ 2.1 kts"
2019-07-17,"GP213F",5,40,"American_plaice__plie_americaine",17,0.52,"Stable ~ 2.1 kts"
2019-07-17,"GP213F",5,2521,"Hyas_coarctatus",1,0.21,"Stable ~ 2.1 kts"
2019-07-17,"GP228F",6,40,"American_plaice__plie_americaine",32,1.31,"Stable ~ 2.1 kts"
2019-07-17,"GP228F",6,42,"Yellowtail_flounder__limande_a_queue_jaune",1,0.07,"Stable ~ 2.1 kts"
2019-07-17,"GP242F",7,40,"American_plaice__plie_americaine",7,0.28,"Force ~ 2.1 kts"
2019-07-17,"GP242F",7,42,"Yellowtail_flounder__limande_a_queue_jaune",51,1.72,"Force ~ 2.1 kts"
2019-07-17,"GP242F",7,1823,"sea_potato__patate_de_mer",1,0.22,"Force ~ 2.1 kts"
2019-07-17,"GP242F",7,2521,"Hyas_coarctatus",13,1.83,"Force ~ 2.1 kts"
2019-07-17,"GP253F",8,40,"American_plaice__plie_americaine",13,1.06,"Stable ~ 2.1 kts"
2019-07-17,"GP253F",8,42,"Yellowtail_flounder__limande_a_queue_jaune",117,3.05,"Stable ~ 2.1 kts"
2019-07-17,"GP253F",8,2521,"Hyas_coarctatus",20,1.95,"Stable ~ 2.1 kts"
2019-07-17,"GP239A1",10,40,"American_plaice__plie_americaine",16,1.02,"Stable ~ 2.1 kts"
2019-07-17,"GP239A1",10,42,"Yellowtail_flounder__limande_a_queue_jaune",11,0.4,"Stable ~ 2.1 kts"
2019-07-17,"GP239A1",10,2521,"Hyas_coarctatus",7,1.27,"Stable ~ 2.1 kts"
2019-07-17,"GP224F",11,40,"American_plaice__plie_americaine",19,0.4,"Stable ~ 2.1 kts"
2019-07-18,"GP222F",1,40,"American_plaice__plie_americaine",49,1.59,"Stable ~ 2.1 kts"
2019-07-18,"GP222F",1,42,"Yellowtail_flounder__limande_a_queue_jaune",11,0.28,"Stable ~ 2.1 kts"
2019-07-18,"GP211F",2,40,"American_plaice__plie_americaine",88,3.12,"Stable ~ 2.2 kts"
2019-07-18,"GP211F",2,2521,"Hyas_coarctatus",2,0.48,"Stable ~ 2.2 kts"
2019-07-18,"GP194F",3,40,"American_plaice__plie_americaine",71,2.76,"Stable ~ 2.2 kts"
2019-07-18,"GP194F",3,42,"Yellowtail_flounder__limande_a_queue_jaune",2,0.14,"Stable ~ 2.2 kts"
2019-07-18,"GP194F",3,2521,"Hyas_coarctatus",34,0.37,"Stable ~ 2.2 kts"
2019-07-18,"GP186F",4,40,"American_plaice__plie_americaine",81,6.4,"Stable ~ 2.1 kts"
2019-07-18,"GP186F",4,42,"Yellowtail_flounder__limande_a_queue_jaune",27,1.16,"Stable ~ 2.1 kts"
2019-07-18,"GP186F",4,2521,"Hyas_coarctatus",8,0.14,"Stable ~ 2.1 kts"
2019-07-18,"GP182F",5,40,"American_plaice__plie_americaine",171,9.96,"Stable ~ 2.1 kts"
2019-07-18,"GP182F",5,42,"Yellowtail_flounder__limande_a_queue_jaune",47,2.51,"Stable ~ 2.1 kts"
2019-07-18,"GP182F",5,2521,"Hyas_coarctatus",1,0.02,"Stable ~ 2.1 kts"
2019-07-18,"GP199F",6,40,"American_plaice__plie_americaine",137,7.51,"Stable ~ 2.2 kts"
2019-07-18,"GP199F",6,2521,"Hyas_coarctatus",5,0.09,"Stable ~ 2.2 kts"
2019-07-18,"GP219F",7,40,"American_plaice__plie_americaine",49,2.19,"Stable ~ 2.1 kts"
2019-07-18,"GP219F",7,42,"Yellowtail_flounder__limande_a_queue_jaune",13,0.53,"Stable ~ 2.1 kts"
2019-07-18,"GP212F",8,40,"American_plaice__plie_americaine",96,5.02,"Stable ~ 2.1 kts"
2019-07-18,"GP212F",8,42,"Yellowtail_flounder__limande_a_queue_jaune",32,0.92,"Stable ~ 2.1 kts"
2019-07-18,"GP196F",9,40,"American_plaice__plie_americaine",42,3.08,"Accroche et force ~ 2.2 kts"
2019-07-18,"GP196F",9,42,"Yellowtail_flounder__limande_a_queue_jaune",1,0.04,"Accroche et force ~ 2.2 kts"
2019-07-25,"GP159F",1,40,"American_plaice__plie_americaine",236,15.78,"Stable ~ 2.2 kts"
2019-07-25,"GP159F",1,2521,"Hyas_coarctatus",4,0.27,"Stable ~ 2.2 kts"
2019-07-25,"GP184A3",5,40,"American_plaice__plie_americaine",359,12.12,"Stable ~ 2.1 kts"
2019-07-25,"GP184A3",5,2521,"Hyas_coarctatus",15,1.62,"Stable ~ 2.1 kts"
2019-07-25,"GP202A2",8,10,"Atlantic_cod__morue_franche",2,0.61,"Accrochages ~ 2.1 kts"
2019-07-25,"GP202A2",8,40,"American_plaice__plie_americaine",242,15.96,"Accrochages ~ 2.1 kts"
2019-07-25,"GP202A2",8,2521,"Hyas_coarctatus",12,0.51,"Accrochages ~ 2.1 kts"
2019-07-25,"GP198A1",10,40,"American_plaice__plie_americaine",86,4.24,"Accrochages ~ 2.1 kts"
2019-07-25,"GP198A1",10,2521,"Hyas_coarctatus",8,0.43,"Accrochages ~ 2.1 kts"
2019-07-25,"GP206F",11,40,"American_plaice__plie_americaine",284,20.09,"Stable ~ 2.2 kts"
2019-07-25,"GP206F",11,42,"Yellowtail_flounder__limande_a_queue_jaune",1,0.09,"Stable ~ 2.2 kts"
2019-07-25,"GP206F",11,1823,"sea_potato__patate_de_mer",3,0.64,"Stable ~ 2.2 kts"
2019-07-25,"GP206F",11,2521,"Hyas_coarctatus",10,0.35,"Stable ~ 2.2 kts"
2019-07-25,"GP233F",12,40,"American_plaice__plie_americaine",272,15.59,"Accrochages ~ 2.1 kts"
2019-07-25,"GP233F",12,1823,"sea_potato__patate_de_mer",8,1.12,"Accrochages ~ 2.1 kts"
2019-07-25,"GP233F",12,2521,"Hyas_coarctatus",3,0.12,"Accrochages ~ 2.1 kts"
2019-07-26,"GP220F",1,10,"Atlantic_cod__morue_franche",3,0.05,"Stable ~ 2.1 kts"
2019-07-26,"GP220F",1,40,"American_plaice__plie_americaine",368,19.07,"Stable ~ 2.1 kts"
2019-07-26,"GP220F",1,1823,"sea_potato__patate_de_mer",6,0.68,"Stable ~ 2.1 kts"
2019-07-26,"GP220F",1,2521,"Hyas_coarctatus",5,0.12,"Stable ~ 2.1 kts"
2019-07-26,"GP226F",2,40,"American_plaice__plie_americaine",83,6.3,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP226F",2,1823,"sea_potato__patate_de_mer",156,18.61,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP226F",2,2521,"Hyas_coarctatus",38,2.24,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP240A2",5,10,"Atlantic_cod__morue_franche",2,0.02,"Stable ~ 2.1 kts"
2019-07-26,"GP240A2",5,40,"American_plaice__plie_americaine",50,2.83,"Stable ~ 2.1 kts"
2019-07-26,"GP240A2",5,42,"Yellowtail_flounder__limande_a_queue_jaune",2,0.15,"Stable ~ 2.1 kts"
2019-07-26,"GP240A2",5,1823,"sea_potato__patate_de_mer",8,0.65,"Stable ~ 2.1 kts"
2019-07-26,"GP240A2",5,2521,"Hyas_coarctatus",29,3.51,"Stable ~ 2.1 kts"
2019-07-26,"GP234F",6,10,"Atlantic_cod__morue_franche",31,1.2,"Stable ~ 2.1 kts"
2019-07-26,"GP234F",6,40,"American_plaice__plie_americaine",31,4.01,"Stable ~ 2.1 kts"
2019-07-26,"GP234F",6,300,"longhorn_sculpin__chaboisseau_a_dix_huit_epines",6,0.19,"Stable ~ 2.1 kts"
2019-07-26,"GP234F",6,2521,"Hyas_coarctatus",13,0.78,"Stable ~ 2.1 kts"
2019-07-26,"GP214F",7,10,"Atlantic_cod__morue_franche",2,0.04,"Stable ~ 2.1 kts"
2019-07-26,"GP214F",7,40,"American_plaice__plie_americaine",328,11.71,"Stable ~ 2.1 kts"
2019-07-26,"GP214F",7,42,"Yellowtail_flounder__limande_a_queue_jaune",12,0.98,"Stable ~ 2.1 kts"
2019-07-26,"GP214F",7,2521,"Hyas_coarctatus",16,1.2,"Stable ~ 2.1 kts"
2019-07-26,"GP192F",8,10,"Atlantic_cod__morue_franche",107,3.34,"Stable ~ 2.1 kts"
2019-07-26,"GP192F",8,40,"American_plaice__plie_americaine",38,1.62,"Stable ~ 2.1 kts"
2019-07-26,"GP192F",8,42,"Yellowtail_flounder__limande_a_queue_jaune",17,1.34,"Stable ~ 2.1 kts"
2019-07-26,"GP192F",8,43,"winter_flounder__plie_rouge",1,0.02,"Stable ~ 2.1 kts"
2019-07-26,"GP192F",8,2521,"Hyas_coarctatus",13,0.62,"Stable ~ 2.1 kts"
2019-07-26,"GP197F",9,10,"Atlantic_cod__morue_franche",20,0.55,"Stable ~ 2.1 kts"
2019-07-26,"GP197F",9,40,"American_plaice__plie_americaine",109,7.98,"Stable ~ 2.1 kts"
2019-07-26,"GP197F",9,42,"Yellowtail_flounder__limande_a_queue_jaune",37,2.67,"Stable ~ 2.1 kts"
2019-07-26,"GP197F",9,2521,"Hyas_coarctatus",16,1.41,"Stable ~ 2.1 kts"
2019-07-26,"GP189A1",11,10,"Atlantic_cod__morue_franche",22,2.11,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP189A1",11,40,"American_plaice__plie_americaine",2,0.08,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP189A1",11,42,"Yellowtail_flounder__limande_a_queue_jaune",13,1.56,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP189A1",11,1823,"sea_potato__patate_de_mer",2,0.31,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP189A1",11,2521,"Hyas_coarctatus",1,0.24,"Accroche et force ~ 2.2 kts"
2019-07-26,"GP162F",12,10,"Atlantic_cod__morue_franche",5,0.41,"Accrochages ~ 2.1 kts"
2019-07-26,"GP162F",12,40,"American_plaice__plie_americaine",131,4.49,"Accrochages ~ 2.1 kts"
2019-07-26,"GP162F",12,42,"Yellowtail_flounder__limande_a_queue_jaune",28,2.85,"Accrochages ~ 2.1 kts"
2019-07-26,"GP162F",12,2521,"Hyas_coarctatus",9,1.49,"Accrochages ~ 2.1 kts"
2019-07-26,"GP174F",13,10,"Atlantic_cod__morue_franche",3,2.5,"Accrochages ~ 2.1 kts"
2019-07-26,"GP174F",13,40,"American_plaice__plie_americaine",61,3.55,"Accrochages ~ 2.1 kts"
2019-07-26,"GP174F",13,42,"Yellowtail_flounder__limande_a_queue_jaune",8,0.87,"Accrochages ~ 2.1 kts"
2019-07-26,"GP174F",13,2521,"Hyas_coarctatus",24,1.97,"Accrochages ~ 2.1 kts"
2019-07-27,"GP170F",1,10,"Atlantic_cod__morue_franche",1,0.31,"Stable ~ 2.1 kts"
2019-07-27,"GP170F",1,40,"American_plaice__plie_americaine",618,22.54,"Stable ~ 2.1 kts"
2019-07-27,"GP170F",1,42,"Yellowtail_flounder__limande_a_queue_jaune",5,1.02,"Stable ~ 2.1 kts"
2019-07-27,"GP170F",1,2521,"Hyas_coarctatus",3,0.28,"Stable ~ 2.1 kts"
2019-07-27,"GP154F",2,10,"Atlantic_cod__morue_franche",51,0.98,"Stable ~ 2.1 kts"
2019-07-27,"GP154F",2,40,"American_plaice__plie_americaine",169,4.88,"Stable ~ 2.1 kts"
2019-07-27,"GP154F",2,42,"Yellowtail_flounder__limande_a_queue_jaune",4,0.26,"Stable ~ 2.1 kts"
2019-07-27,"GP154F",2,300,"longhorn_sculpin__chaboisseau_a_dix_huit_epines",1,0.22,"Stable ~ 2.1 kts"
2019-07-27,"GP154F",2,2521,"Hyas_coarctatus",14,0.8,"Stable ~ 2.1 kts"
2019-07-27,"GP133F",3,10,"Atlantic_cod__morue_franche",137,2.69,"Stable ~ 2.1 kts"
2019-07-27,"GP133F",3,40,"American_plaice__plie_americaine",128,3.28,"Stable ~ 2.1 kts"
2019-07-27,"GP133F",3,42,"Yellowtail_flounder__limande_a_queue_jaune",23,2.54,"Stable ~ 2.1 kts"
2019-07-27,"GP133F",3,300,"longhorn_sculpin__chaboisseau_a_dix_huit_epines",2,0.39,"Stable ~ 2.1 kts"
2019-07-27,"GP133F",3,2521,"Hyas_coarctatus",5,0.11,"Stable ~ 2.1 kts"
2019-07-27,"GP141F",4,10,"Atlantic_cod__morue_franche",2,0.06,"Stable ~ 2.1 kts"
2019-07-27,"GP141F",4,40,"American_plaice__plie_americaine",253,6.91,"Stable ~ 2.1 kts"
2019-07-27,"GP141F",4,42,"Yellowtail_flounder__limande_a_queue_jaune",13,1.3,"Stable ~ 2.1 kts"
2019-07-27,"GP141F",4,2521,"Hyas_coarctatus",9,0.38,"Stable ~ 2.1 kts"
