"source","latin.name_nom.latin","english.name_nom.anglais","french.name_nom.français","year_année","month_mois","number.otoliths_nombre.otolithes","number.otoliths.aged_nombre.otolithes.agés"
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,5,91,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,6,85,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,8,61,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,9,83,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,10,98,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,11,71,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,5,124,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,6,74,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,8,66,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,9,108,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,5,59,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,6,78,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,10,90,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,11,33,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,5,55,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,7,27,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,9,26,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,10,30,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2012,5,52,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2012,6,48,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2012,7,25,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,4,83,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,5,52,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,6,70,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,7,28,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,5,76,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,6,42,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,7,31,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,8,106,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,9,6,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2015,5,107,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2015,6,45,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2015,8,51,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2015,9,25,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2016,5,121,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2016,6,42,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2016,7,48,0
"Commercial","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2016,8,25,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1970,9,93,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1971,9,199,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1972,9,67,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1973,9,87,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1974,9,151,127
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1975,9,156,138
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1976,9,133,114
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1977,9,134,115
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1978,9,50,45
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1978,10,15,13
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1979,9,151,132
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1980,9,83,66
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1981,9,49,32
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1982,9,45,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1983,9,50,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1984,9,76,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1985,9,33,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1986,9,252,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1987,9,210,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1988,9,368,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1989,9,245,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1990,9,175,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1991,9,190,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1992,9,132,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1993,9,243,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1994,9,326,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1995,9,320,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1996,9,344,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1997,9,184,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1998,9,344,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",1999,9,188,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2000,9,232,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2001,9,191,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2002,9,250,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2003,9,63,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2004,9,161,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2005,9,209,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2006,9,425,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2007,9,177,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,8,49,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2008,9,252,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2009,9,235,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2010,9,173,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2011,9,196,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2012,9,215,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2013,9,216,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2014,9,235,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2015,9,282,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2016,9,337,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2017,9,363,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2018,9,214,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2018,10,4,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2019,9,230,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2019,10,4,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2020,9,252,0
"RV","Glyptocephalus cynoglossus","Witch Flounder","Plie grise",2020,10,12,0
